"Receptor","n_H","mean_H","sd_H","n_CBPO","mean_CBPO","sd_CBPO","difference","t_value","p_value","subject_SD","gap_over_SD","n_CBPplusO","mean_CBPplusO","sd_CBPplusO","p_FDR"
"5HT1A",30,0.00321102209906437,0.406101282865958,70,0.0704295230137792,0.338259052460594,0.0672185009147148,0.795954391409781,0.430055346455018,0.359185920794774,0.187141246421852,70,-0.140020262113153,0.36108289571094,0.631791659422152
"5HT1B",30,-0.0119180202219448,0.298055594337143,70,-0.0286851770982453,0.320183021322009,-0.0167671568763006,-0.252037441798548,0.80189191122753,0.312304329101168,-0.0536885189025637,70,-0.182722731064305,0.283749291794123,0.80189191122753
"5HT2A",30,0.00471283989851797,0.655518876817293,70,-0.0940550763302612,0.507575265570904,-0.0987679162287792,-0.736091486629136,0.465530696416323,0.554530968704537,-0.178110731055319,70,-0.0184185128051149,0.483716112270448,0.631791659422152
"5HT4",30,-0.0213137743971041,0.440024814878757,70,0.0227187402627709,0.469342200698301,0.044032514659875,0.449382773330185,0.654820537554758,0.458975741490983,0.0959364748054775,70,-0.00281097059778237,0.431494615196965,0.6911994563078
"5HT6",30,0.00164470747371688,0.32536392945611,70,0.0391414813040405,0.273565538882076,0.0374967738303236,0.55298969655293,0.58286897098711,0.288908504277613,0.129787712286561,70,-0.15887321242902,0.345983506800125,0.6911994563078
"5HTT",30,0.0172836056412433,0.263475983140305,70,0.0915500446338197,0.314857408524208,0.0742664389925764,1.21597974897288,0.228382908327117,0.300997025920946,0.246734793359991,70,0.0610365902190925,0.335841421235362,0.619896465459317
"D1",30,-0.0237034747340044,0.40958025175632,70,0.050900182988063,0.444692051582856,0.0746036577220674,0.813175969041619,0.419368087234213,0.433759973518113,0.171992950656504,70,0.0504847356952155,0.376000048614738,0.631791659422152
"D2",30,-0.00831730171385803,0.270726564935966,70,-0.0966262007816438,0.384084373676454,-0.0883088990677857,-1.30910113776334,0.194411521111851,0.354882205975883,-0.248840030806693,70,-0.0220592395053711,0.277420536752481,0.615636483520862
"DAT",30,-0.00931259029780922,0.302014782184605,70,-0.0504243247678818,0.390904488570632,-0.0411117344700725,-0.568839906604526,0.57127638098602,0.365484383501426,-0.112485611768723,70,0.115211288537558,0.315742186182966,0.6911994563078
"NET",30,-0.0119662007990855,0.192398534809017,70,-0.0465368743985489,0.216283134157345,-0.0345706735994635,-0.792653271066804,0.431034282998062,0.209045585985506,-0.165373851050174,70,0.027709805349239,0.206927353891061,0.631791659422152
"H3",30,-0.0211727186932583,0.352166382774646,70,-0.159260793880336,0.280821786413803,-0.138088075187077,-1.90387136083919,0.0632573403506325,0.308768304904189,-0.447222311985443,70,-0.0597941355181787,0.239338320924609,0.300472366665504
"a4b2",30,-0.0102354676736292,0.221360781615143,70,0.108293374407163,0.197929501877992,0.118528842080792,2.53106663500089,0.0145755640901485,0.211277933189486,0.561009094946461,70,0.114686242761459,0.205856437768029,0.0923119059042739
"M1",30,0.00197432294785327,0.236240595419061,70,0.134982642098115,0.253596386523067,0.133008319150262,2.52307723582861,0.0143627597245276,0.254801610324914,0.522007372640442,70,0.284306887269374,0.282833895702823,0.0923119059042739
"VAChT",30,0.0230168109378496,0.48291266617414,70,0.124864788147305,0.409351862340557,0.101847977209455,1.01006411891613,0.317559980320155,0.432785495518661,0.235331309075869,70,-0.079981668399859,0.378517748366149,0.631791659422152
"CB1",30,-0.00245110183223059,0.374112345953388,70,-0.0658992417192556,0.395549950951657,-0.063448139887025,-0.763799588458516,0.44809007648783,0.388458544843844,-0.163333103954582,70,-0.0744150792285856,0.361671054226376,0.631791659422152
"MOR",30,0.0233556187949125,0.619917432341133,70,0.228625982194227,0.605613612805397,0.205270363399314,1.5278971720507,0.13239733025046,0.614114020124494,0.334254481533741,70,0.554655027908847,0.557593989090089,0.503109854951749
"NMDA",30,-0.00193613250953179,0.234641597715232,70,-0.04747417459405,0.230964914584832,-0.0455380420845182,-0.893540085715885,0.375521467987826,0.231834630910696,-0.196424675233527,70,-0.0566933406844843,0.202975373857211,0.631791659422152
"mGluR5",30,0.0250083931322402,0.423290286130057,70,-0.300881193126377,0.329782803452685,-0.325889586258617,-3.7565041705466,0.000495241376490309,0.38834746910106,-0.839170104579232,70,-0.408681674246912,0.298437545087693,0.00940958615331587
"GABA",30,0.00132104243003419,0.347217439210411,70,0.0408040083524359,0.397435850907365,0.0394829659224017,0.498421844116944,0.61993805228554,0.381754167350894,0.103425107828909,70,0.183515657790981,0.375159201544816,0.6911994563078
